lat,lon,month,solar_kwh_m2_day,wind_ms,temp_c
58.0,-105.0,7,7.806,3.286,23.75
58.0,-105.0,8,6.283,3.516,19.9
58.0,-105.0,9,3.96,3.767,14.12
58.0,-105.0,10,2.529,3.913,3.86
58.0,-105.0,11,1.24,4.41,-6.77
58.0,-105.0,12,0.016,5.604,-12.27
58.0,-90.0,1,1.084,5.174,-17.37
58.0,-90.0,2,2.366,5.716,-13.9
58.0,-90.0,3,3.952,4.878,-5.7
58.0,-90.0,4,6.399,4.393,4.03
58.0,-90.0,5,7.517,3.576,13.82
58.0,-90.0,6,7.551,4.07,23.25
58.0,-90.0,7,7.818,2.771,23.13
58.0,-90.0,8,5.894,3.321,21.91
58.0,-90.0,9,3.874,3.628,13.39
58.0,-90.0,10,2.344,4.238,3.84
58.0,-90.0,11,1.15,5.283,-6.56
58.0,-90.0,12,0.0,5.712,-13.03
58.0,-75.0,1,0.999,5.911,-16.25
58.0,-75.0,2,2.21,5.627,-13.58
58.0,-75.0,3,3.941,5.466,-7.35
58.0,-75.0,4,6.385,4.745,3.45
58.0,-75.0,5,7.648,4.424,13.18
58.0,-75.0,6,7.609,4.179,19.33
58.0,-75.0,7,7.759,3.645,22.6
58.0,-75.0,8,6.083,3.939,18.69
58.0,-75.0,9,4.299,4.121,12.11
58.0,-75.0,10,2.438,5.187,2.51
58.0,-75.0,11,1.158,4.641,-6.96
58.0,-75.0,12,0.0,5.82,-15.14
58.0,-60.0,1,1.352,5.267,-17.18
58.0,-60.0,2,2.237,6.157,-15.08
58.0,-60.0,3,4.001,5.238,-8.25
58.0,-60.0,4,6.422,4.576,1.36
58.0,-60.0,5,7.619,4.339,9.52
58.0,-60.0,6,7.285,4.063,17.09
58.0,-60.0,7,7.768,3.627,20.59
58.0,-60.0,8,6.193,3.954,18.46
58.0,-60.0,9,4.069,4.046,11.55
58.0,-60.0,10,2.33,4.941,2.01
58.0,-60.0,11,1.37,4.983,-8.55
58.0,-60.0,12,0.055,5.043,-14.42
58.0,-45.0,1,1.061,5.623,-19.6
58.0,-45.0,2,2.292,5.381,-13.54
58.0,-45.0,3,3.995,6.027,-8.81
58.0,-45.0,4,6.272,5.396,-0.43
58.0,-45.0,5,7.598,3.787,9.66
58.0,-45.0,6,7.479,3.531,13.79
58.0,-45.0,7,7.832,3.642,17.78
58.0,-45.0,8,5.963,4.006,15.23
58.0,-45.0,9,4.076,4.012,6.31
58.0,-45.0,10,2.51,4.995,-0.05
58.0,-45.0,11,1.271,5.219,-9.16
58.0,-45.0,12,0.0,5.55,-14.21
58.0,-30.0,1,1.009,6.596,-18.33
58.0,-30.0,2,2.093,6.334,-15.23
58.0,-30.0,3,4.027,5.385,-10.08
58.0,-30.0,4,6.301,5.031,-0.37
58.0,-30.0,5,7.671,4.061,6.29
58.0,-30.0,6,7.756,3.726,13.56
58.0,-30.0,7,7.903,4.052,16.33
58.0,-30.0,8,6.036,3.938,13.42
58.0,-30.0,9,3.792,4.504,7.32
58.0,-30.0,10,2.713,4.133,-1.14
58.0,-30.0,11,1.227,5.803,-7.13
58.0,-30.0,12,0.0,5.643,-15.6
58.0,-15.0,1,0.854,6.165,-19.25
58.0,-15.0,2,1.905,5.989,-17.77
58.0,-15.0,3,3.986,5.158,-10.0
58.0,-15.0,4,6.417,5.608,-3.07
58.0,-15.0,5,7.437,4.629,5.53
58.0,-15.0,6,7.699,4.277,13.17
58.0,-15.0,7,7.734,3.761,14.11
58.0,-15.0,8,5.907,4.221,11.58
58.0,-15.0,9,3.823,4.027,6.94
58.0,-15.0,10,2.527,5.525,-2.37
58.0,-15.0,11,1.278,5.318,-9.16
58.0,-15.0,12,0.007,5.841,-17.6
58.0,0.0,1,0.985,5.771,-19.55
58.0,0.0,2,1.96,5.679,-18.87
58.0,0.0,3,4.11,5.168,-11.88
58.0,0.0,4,6.546,5.209,-2.39
58.0,0.0,5,7.72,4.014,7.45
58.0,0.0,6,7.472,5.0,11.42
58.0,0.0,7,7.54,3.632,14.28
58.0,0.0,8,5.873,4.992,14.39
58.0,0.0,9,3.901,3.763,5.47
58.0,0.0,10,2.462,4.868,-2.07
58.0,0.0,11,1.265,5.759,-9.89
58.0,0.0,12,0.0,6.282,-17.64
58.0,15.0,1,1.018,6.513,-17.4
58.0,15.0,2,1.959,5.825,-17.39
58.0,15.0,3,3.908,5.809,-8.82
58.0,15.0,4,6.463,5.209,-0.46
58.0,15.0,5,7.787,4.61,8.33
58.0,15.0,6,7.677,4.077,14.35
58.0,15.0,7,7.631,4.469,17.27
58.0,15.0,8,6.047,3.494,15.54
58.0,15.0,9,3.951,4.332,7.82
58.0,15.0,10,2.777,4.994,-0.92
58.0,15.0,11,1.242,5.42,-11.58
58.0,15.0,12,0.118,5.799,-16.58
58.0,30.0,1,1.173,6.431,-16.1
58.0,30.0,2,2.075,5.821,-15.27
58.0,30.0,3,3.915,5.484,-9.49
58.0,30.0,4,6.207,5.227,-1.01
58.0,30.0,5,7.671,4.366,11.25
58.0,30.0,6,7.535,4.109,16.44
58.0,30.0,7,7.821,4.165,19.32
58.0,30.0,8,6.022,3.719,15.77
58.0,30.0,9,3.861,4.207,8.92
58.0,30.0,10,2.544,4.832,1.75
58.0,30.0,11,1.273,5.593,-9.48
58.0,30.0,12,0.0,5.865,-14.43
58.0,45.0,1,1.138,6.009,-16.76
58.0,45.0,2,1.979,6.402,-13.77
58.0,45.0,3,4.068,6.187,-4.97
58.0,45.0,4,6.294,5.301,1.78
58.0,45.0,5,7.542,4.713,12.57
58.0,45.0,6,7.53,4.787,18.9
58.0,45.0,7,7.752,4.564,20.59
58.0,45.0,8,6.169,4.186,17.89
58.0,45.0,9,3.981,4.112,11.76
58.0,45.0,10,2.306,4.799,1.21
58.0,45.0,11,1.161,5.627,-6.57
58.0,45.0,12,0.024,5.927,-15.25
58.0,60.0,1,1.087,5.943,-15.16
58.0,60.0,2,2.149,6.043,-10.99
58.0,60.0,3,3.952,5.679,-6.37
58.0,60.0,4,6.313,4.591,3.34
58.0,60.0,5,7.527,4.489,12.78
58.0,60.0,6,7.431,4.165,19.75
58.0,60.0,7,7.838,4.136,22.39
58.0,60.0,8,5.988,4.275,20.5
58.0,60.0,9,4.062,4.752,13.64
58.0,60.0,10,2.479,5.469,3.61
58.0,60.0,11,1.16,5.71,-6.82
58.0,60.0,12,0.05,6.023,-14.01
58.0,75.0,1,1.005,6.056,-17.57
58.0,75.0,2,2.111,6.481,-12.92
58.0,75.0,3,3.889,4.669,-6.49
58.0,75.0,4,6.274,4.854,3.63
58.0,75.0,5,7.776,4.51,14.58
58.0,75.0,6,7.455,4.073,21.84
58.0,75.0,7,7.633,3.778,21.69
58.0,75.0,8,6.143,4.102,23.09
58.0,75.0,9,3.866,4.676,12.53
58.0,75.0,10,2.28,5.319,4.57
58.0,75.0,11,1.291,5.781,-5.89
58.0,75.0,12,0.021,6.633,-13.54
58.0,90.0,1,0.974,5.203,-14.66
58.0,90.0,2,2.283,5.913,-11.38
58.0,90.0,3,4.102,5.275,-5.22
58.0,90.0,4,6.397,4.737,3.08
58.0,90.0,5,7.778,4.153,14.53
58.0,90.0,6,7.411,4.254,19.98
58.0,90.0,7,7.611,4.111,23.57
58.0,90.0,8,6.042,3.891,21.64
58.0,90.0,9,3.932,4.756,12.58
58.0,90.0,10,2.399,4.925,4.24
58.0,90.0,11,1.112,5.984,-6.38
58.0,90.0,12,0.024,6.009,-13.86
58.0,105.0,1,0.999,6.053,-12.52
58.0,105.0,2,2.084,5.162,-12.01
58.0,105.0,3,4.046,5.363,-4.49
58.0,105.0,4,6.123,5.363,2.6
58.0,105.0,5,7.688,4.064,11.65
58.0,105.0,6,7.432,4.369,19.79
58.0,105.0,7,7.858,3.287,22.43
58.0,105.0,8,5.894,3.43,19.96
58.0,105.0,9,3.931,3.905,12.79
58.0,105.0,10,2.368,5.03,2.9
58.0,105.0,11,1.366,5.429,-5.88
58.0,105.0,12,0.0,5.627,-14.5
58.0,120.0,1,1.065,5.115,-16.48
58.0,120.0,2,2.035,5.73,-13.15
58.0,120.0,3,3.865,5.29,-5.26
58.0,120.0,4,6.377,4.621,1.99
58.0,120.0,5,7.555,4.551,12.92
58.0,120.0,6,7.598,3.446,18.11
58.0,120.0,7,7.885,3.749,19.16
58.0,120.0,8,5.856,3.909,15.49
58.0,120.0,9,3.861,4.389,8.81
58.0,120.0,10,2.746,4.66,2.98
58.0,120.0,11,1.24,5.693,-6.73
58.0,120.0,12,0.0,5.808,-14.32
58.0,135.0,1,1.083,5.704,-17.88
58.0,135.0,2,2.295,5.766,-14.15
58.0,135.0,3,4.241,5.765,-9.24
58.0,135.0,4,6.396,4.229,3.31
58.0,135.0,5,7.56,4.236,9.36
58.0,135.0,6,7.733,4.011,14.78
58.0,135.0,7,7.871,3.21,18.54
58.0,135.0,8,6.222,3.904,16.68
58.0,135.0,9,3.983,4.069,9.16
58.0,135.0,10,2.568,4.349,0.08
58.0,135.0,11,1.113,5.274,-9.6
58.0,135.0,12,0.0,5.774,-15.15
58.0,150.0,1,0.941,5.556,-17.04
58.0,150.0,2,2.077,4.86,-15.71
58.0,150.0,3,3.94,4.492,-8.89
58.0,150.0,4,6.465,4.421,0.28
58.0,150.0,5,7.678,3.837,8.53
58.0,150.0,6,7.603,3.43,13.07
58.0,150.0,7,7.636,3.855,16.4
58.0,150.0,8,6.031,3.218,12.47
58.0,150.0,9,4.005,4.138,9.26
58.0,150.0,10,2.445,4.466,-0.46
58.0,150.0,11,1.193,5.593,-10.83
58.0,150.0,12,0.0,5.34,-15.4
58.0,165.0,1,0.967,5.317,-17.21
58.0,165.0,2,2.048,5.565,-16.75
58.0,165.0,3,3.982,4.714,-11.97
58.0,165.0,4,6.485,4.625,-1.81
58.0,165.0,5,7.611,4.504,5.97
58.0,165.0,6,7.477,3.898,12.41
58.0,165.0,7,7.645,3.371,14.54
58.0,165.0,8,6.053,4.247,13.11
58.0,165.0,9,3.998,4.031,4.25
58.0,165.0,10,2.496,4.553,-1.84
58.0,165.0,11,1.235,5.232,-10.45
58.0,165.0,12,0.0,6.478,-17.57
60.0,-180.0,1,0.696,5.07,-21.82
60.0,-180.0,2,1.875,5.291,-20.45
60.0,-180.0,3,3.902,5.243,-12.46
60.0,-180.0,4,5.932,4.076,-2.11
60.0,-180.0,5,7.747,4.146,6.06
60.0,-180.0,6,7.378,3.376,11.77
60.0,-180.0,7,7.687,2.68,13.77
60.0,-180.0,8,6.057,3.371,11.53
60.0,-180.0,9,3.694,3.631,5.4
60.0,-180.0,10,1.969,4.675,-3.54
60.0,-180.0,11,0.971,5.075,-14.08
60.0,-180.0,12,0.0,5.183,-20.54
60.0,-165.0,1,0.883,5.397,-21.75
60.0,-165.0,2,2.096,5.525,-18.58
60.0,-165.0,3,3.733,4.238,-12.82
60.0,-165.0,4,6.261,4.391,-2.61
60.0,-165.0,5,7.547,3.359,6.84
60.0,-165.0,6,7.41,4.121,11.68
60.0,-165.0,7,7.788,2.824,13.07
60.0,-165.0,8,5.907,3.037,12.34
60.0,-165.0,9,3.995,4.07,6.42
60.0,-165.0,10,2.156,4.32,-2.34
60.0,-165.0,11,0.961,4.433,-11.61
60.0,-165.0,12,0.192,5.855,-18.75
60.0,-150.0,1,0.653,5.133,-21.47
60.0,-150.0,2,1.891,5.23,-17.95
60.0,-150.0,3,3.655,4.973,-12.36
60.0,-150.0,4,6.089,4.981,-2.34
60.0,-150.0,5,7.554,3.703,9.06
60.0,-150.0,6,7.51,2.893,14.65
60.0,-150.0,7,7.855,3.601,17.11
60.0,-150.0,8,5.832,3.184,14.54
60.0,-150.0,9,3.91,4.018,8.11
60.0,-150.0,10,2.402,4.708,-0.49
60.0,-150.0,11,0.824,4.639,-11.79
60.0,-150.0,12,0.087,4.906,-17.84
60.0,-135.0,1,0.759,5.535,-21.11
60.0,-135.0,2,1.663,5.539,-16.47
60.0,-135.0,3,4.006,4.856,-9.01
60.0,-135.0,4,6.243,4.117,-1.5
60.0,-135.0,5,7.603,3.891,7.49
60.0,-135.0,6,7.358,3.124,16.89
60.0,-135.0,7,7.734,3.844,19.43
60.0,-135.0,8,5.924,3.415,16.02
60.0,-135.0,9,3.6,4.11,10.06
60.0,-135.0,10,2.535,4.36,-0.73
60.0,-135.0,11,0.926,5.137,-9.65
60.0,-135.0,12,0.0,5.19,-15.91
60.0,-120.0,1,0.9,5.589,-18.31
60.0,-120.0,2,1.824,5.16,-13.74
60.0,-120.0,3,3.813,5.669,-9.59
60.0,-120.0,4,6.251,4.673,0.49
60.0,-120.0,5,7.594,4.209,10.66
60.0,-120.0,6,7.528,3.526,18.72
60.0,-120.0,7,7.735,3.414,21.42
60.0,-120.0,8,5.846,3.173,20.2
60.0,-120.0,9,3.813,4.559,10.86
60.0,-120.0,10,2.131,4.154,0.43
60.0,-120.0,11,1.034,4.876,-10.21
60.0,-120.0,12,0.0,5.271,-15.93
60.0,-105.0,1,0.604,5.199,-17.37
60.0,-105.0,2,1.957,6.07,-16.44
60.0,-105.0,3,3.867,4.786,-9.32
60.0,-105.0,4,6.218,4.498,1.56
60.0,-105.0,5,7.716,4.039,11.22
60.0,-105.0,6,7.595,3.549,20.2
60.0,-105.0,7,7.648,3.087,20.37
60.0,-105.0,8,5.961,3.631,19.25
60.0,-105.0,9,3.886,3.924,10.78
60.0,-105.0,10,2.262,5.058,1.12
60.0,-105.0,11,1.104,5.735,-8.03
60.0,-105.0,12,0.0,5.638,-15.75
60.0,-90.0,1,0.672,5.353,-18.24
60.0,-90.0,2,1.944,5.688,-14.77
60.0,-90.0,3,3.555,5.388,-9.39
60.0,-90.0,4,6.147,5.075,-1.0
60.0,-90.0,5,7.58,4.438,10.98
60.0,-90.0,6,7.4,3.813,18.52
60.0,-90.0,7,7.897,3.666,23.54
60.0,-90.0,8,5.978,3.247,20.0
60.0,-90.0,9,3.839,4.201,11.07
60.0,-90.0,10,2.212,4.681,2.19
60.0,-90.0,11,0.626,5.415,-8.25
60.0,-90.0,12,0.054,6.167,-15.93
60.0,-75.0,1,0.819,6.202,-18.64
60.0,-75.0,2,1.905,4.836,-17.31
60.0,-75.0,3,3.72,5.163,-8.38
60.0,-75.0,4,6.241,5.187,0.95
60.0,-75.0,5,7.528,4.364,11.2
60.0,-75.0,6,7.661,3.623,16.3
60.0,-75.0,7,7.785,3.72,22.22
60.0,-75.0,8,5.888,4.088,18.76
60.0,-75.0,9,3.718,4.6,11.06
60.0,-75.0,10,2.466,4.752,1.54
60.0,-75.0,11,0.988,5.246,-8.58
60.0,-75.0,12,0.023,6.143,-17.47
60.0,-60.0,1,0.645,5.974,-20.35
60.0,-60.0,2,2.1,5.56,-17.75
60.0,-60.0,3,3.711,4.406,-8.6
60.0,-60.0,4,6.025,5.047,2.12
60.0,-60.0,5,7.431,4.314,9.0
60.0,-60.0,6,7.582,4.023,17.95
60.0,-60.0,7,7.618,3.496,19.49
60.0,-60.0,8,5.799,3.34,14.35
60.0,-60.0,9,3.654,4.4,7.87
60.0,-60.0,10,2.095,4.475,-3.75
60.0,-60.0,11,0.938,5.922,-10.87
60.0,-60.0,12,0.0,5.786,-16.45
60.0,-45.0,1,0.777,6.023,-21.68
60.0,-45.0,2,1.77,5.813,-18.17
60.0,-45.0,3,3.664,5.643,-10.51
60.0,-45.0,4,6.091,4.914,-2.01
60.0,-45.0,5,7.459,4.176,7.26
60.0,-45.0,6,7.368,3.865,12.41
60.0,-45.0,7,7.751,4.726,15.84
60.0,-45.0,8,6.029,4.269,15.33
60.0,-45.0,9,3.984,3.497,6.4
60.0,-45.0,10,2.186,4.997,-1.6
60.0,-45.0,11,1.028,5.627,-10.18
60.0,-45.0,12,0.096,5.513,-19.28
60.0,-30.0,1,0.976,5.922,-21.51
60.0,-30.0,2,1.787,5.744,-19.82
60.0,-30.0,3,3.623,5.522,-14.02
60.0,-30.0,4,6.074,5.143,-2.32
60.0,-30.0,5,7.595,4.448,4.92
60.0,-30.0,6,7.524,4.055,13.03
60.0,-30.0,7,7.813,4.217,14.76
60.0,-30.0,8,5.864,4.181,10.5
60.0,-30.0,9,3.848,4.638,6.24
60.0,-30.0,10,2.197,5.233,-4.23
60.0,-30.0,11,1.046,5.978,-13.08
60.0,-30.0,12,0.0,6.565,-19.76
60.0,-15.0,1,0.886,6.323,-22.36
60.0,-15.0,2,1.88,5.758,-22.35
60.0,-15.0,3,3.771,5.759,-13.4
60.0,-15.0,4,6.28,4.753,-4.41
60.0,-15.0,5,7.602,4.518,4.55
60.0,-15.0,6,7.446,3.386,13.68
60.0,-15.0,7,7.637,3.749,13.83
60.0,-15.0,8,6.031,4.154,12.25
60.0,-15.0,9,3.729,4.536,4.76
60.0,-15.0,10,2.23,5.211,-4.27
60.0,-15.0,11,1.085,5.305,-14.27
60.0,-15.0,12,0.0,6.163,-18.74
60.0,0.0,1,0.843,6.911,-23.35
60.0,0.0,2,1.788,6.438,-19.35
60.0,0.0,3,3.659,5.799,-13.48
60.0,0.0,4,6.488,5.749,-3.65
60.0,0.0,5,7.708,4.29,5.41
60.0,0.0,6,7.608,4.794,10.12
60.0,0.0,7,7.707,3.967,11.37
60.0,0.0,8,6.001,4.484,11.38
60.0,0.0,9,3.659,4.611,3.73
60.0,0.0,10,2.243,5.616,-4.3
60.0,0.0,11,0.893,5.76,-12.62
60.0,0.0,12,0.0,6.143,-20.83
60.0,15.0,1,1.02,5.722,-20.81
60.0,15.0,2,1.488,6.145,-18.2
60.0,15.0,3,3.914,5.899,-13.1
60.0,15.0,4,6.246,5.077,-3.51
60.0,15.0,5,7.566,4.671,6.65
60.0,15.0,6,7.598,3.809,12.35
60.0,15.0,7,7.92,3.927,14.67
60.0,15.0,8,5.915,4.138,12.88
60.0,15.0,9,3.759,4.738,6.07
60.0,15.0,10,1.956,5.175,-1.18
60.0,15.0,11,1.065,5.612,-13.6
60.0,15.0,12,0.0,5.974,-17.46
60.0,30.0,1,0.873,6.182,-21.19
60.0,30.0,2,1.832,5.531,-16.73
60.0,30.0,3,3.619,5.409,-13.04
60.0,30.0,4,6.048,4.983,-3.27
60.0,30.0,5,7.322,5.11,6.78
60.0,30.0,6,7.529,3.936,14.9
60.0,30.0,7,7.499,4.125,16.1
60.0,30.0,8,6.027,4.508,15.61
60.0,30.0,9,3.673,4.578,7.82
60.0,30.0,10,2.215,4.623,0.39
60.0,30.0,11,0.967,5.277,-9.89
60.0,30.0,12,0.0,6.114,-18.54
60.0,45.0,1,0.591,6.56,-19.02
60.0,45.0,2,1.922,6.209,-17.87
60.0,45.0,3,3.669,6.53,-10.19
60.0,45.0,4,6.156,5.289,-1.29
60.0,45.0,5,7.401,4.312,8.45
60.0,45.0,6,7.428,4.476,17.73
60.0,45.0,7,7.746,3.937,18.31
60.0,45.0,8,5.955,4.176,16.16
60.0,45.0,9,3.814,4.755,9.3
60.0,45.0,10,2.43,5.639,-0.28
60.0,45.0,11,1.062,5.391,-11.33
60.0,45.0,12,0.0,6.147,-17.86
60.0,60.0,1,0.856,6.394,-17.6
60.0,60.0,2,1.808,6.164,-18.25
60.0,60.0,3,3.78,6.474,-8.66
60.0,60.0,4,6.294,4.85,1.95
60.0,60.0,5,7.502,4.365,11.08
60.0,60.0,6,7.541,3.853,18.86
60.0,60.0,7,7.827,3.481,21.29
60.0,60.0,8,5.917,4.574,18.79
60.0,60.0,9,3.721,4.702,12.01
60.0,60.0,10,2.081,5.579,-0.25
60.0,60.0,11,1.138,6.26,-8.52
60.0,60.0,12,0.127,5.82,-15.49
60.0,75.0,1,0.99,6.088,-17.92
60.0,75.0,2,1.781,5.491,-15.48
60.0,75.0,3,3.861,5.803,-9.27
60.0,75.0,4,6.082,4.858,1.56
60.0,75.0,5,7.544,5.058,13.85
60.0,75.0,6,7.523,4.466,19.36
60.0,75.0,7,7.819,3.996,21.28
60.0,75.0,8,5.704,4.893,20.51
60.0,75.0,9,3.771,4.786,9.84
60.0,75.0,10,2.131,5.342,1.16
60.0,75.0,11,1.025,5.445,-8.8
60.0,75.0,12,0.015,5.687,-16.15
60.0,90.0,1,0.742,6.078,-18.2
60.0,90.0,2,1.692,5.034,-14.84
60.0,90.0,3,3.723,5.642,-9.04
60.0,90.0,4,6.212,4.791,2.82
60.0,90.0,5,7.634,3.891,12.0
60.0,90.0,6,7.709,4.234,17.77
60.0,90.0,7,7.73,3.767,22.19
60.0,90.0,8,6.022,4.064,17.65
60.0,90.0,9,3.694,4.64,11.13
60.0,90.0,10,2.368,5.313,1.35
60.0,90.0,11,1.001,5.5,-9.32
60.0,90.0,12,0.0,6.143,-16.53
60.0,105.0,1,0.81,5.465,-20.66
60.0,105.0,2,1.912,6.002,-17.23
60.0,105.0,3,3.871,4.999,-10.41
60.0,105.0,4,6.346,4.797,1.15
60.0,105.0,5,7.451,3.977,10.22
60.0,105.0,6,7.587,4.374,17.23
60.0,105.0,7,7.635,3.694,19.63
60.0,105.0,8,5.608,3.931,17.89
60.0,105.0,9,3.86,4.8,8.85
60.0,105.0,10,2.338,4.925,2.05
60.0,105.0,11,1.117,5.743,-10.61
60.0,105.0,12,0.0,5.503,-18.06
60.0,120.0,1,0.783,6.072,-20.74
60.0,120.0,2,1.644,6.273,-19.46
60.0,120.0,3,3.885,5.389,-11.31
60.0,120.0,4,6.267,4.892,-0.19
60.0,120.0,5,7.695,4.301,8.31
60.0,120.0,6,7.479,3.751,15.84
60.0,120.0,7,7.692,3.373,18.73
60.0,120.0,8,6.019,3.811,15.14
60.0,120.0,9,3.726,3.548,9.4
60.0,120.0,10,2.346,5.267,-1.29
60.0,120.0,11,0.938,6.06,-10.31
60.0,120.0,12,0.0,5.806,-16.09
60.0,135.0,1,0.832,6.133,-20.78
60.0,135.0,2,1.779,5.466,-19.33
60.0,135.0,3,3.789,5.535,-11.72
60.0,135.0,4,6.301,4.48,-3.13
60.0,135.0,5,7.391,4.293,9.22
60.0,135.0,6,7.538,3.783,12.69
60.0,135.0,7,7.744,4.013,16.28
60.0,135.0,8,6.2,3.426,13.08
60.0,135.0,9,3.656,4.551,8.79
60.0,135.0,10,2.223,4.451,-2.12
60.0,135.0,11,1.102,5.195,-11.88
60.0,135.0,12,0.073,5.607,-18.53
60.0,150.0,1,0.783,6.316,-20.81
60.0,150.0,2,1.932,5.523,-18.37
60.0,150.0,3,3.692,5.25,-11.86
60.0,150.0,4,5.974,4.611,-3.76
60.0,150.0,5,7.502,4.258,7.14
60.0,150.0,6,7.646,3.716,12.58
60.0,150.0,7,7.571,3.545,14.76
60.0,150.0,8,5.759,3.574,11.78
60.0,150.0,9,3.811,3.887,6.12
60.0,150.0,10,2.295,3.636,-3.61
60.0,150.0,11,0.937,4.601,-11.44
60.0,150.0,12,0.014,5.326,-17.59
60.0,165.0,1,0.782,6.227,-23.31
60.0,165.0,2,1.851,5.984,-19.56
60.0,165.0,3,3.856,4.881,-13.92
60.0,165.0,4,6.204,3.816,-4.71
60.0,165.0,5,7.557,4.573,3.39
60.0,165.0,6,7.502,3.36,10.53
60.0,165.0,7,7.456,3.813,12.73
60.0,165.0,8,6.191,3.572,12.16
60.0,165.0,9,3.71,4.728,3.92
60.0,165.0,10,2.216,5.045,-1.97
60.0,165.0,11,0.786,4.873,-13.71
60.0,165.0,12,0.0,6.558,-19.66
62.0,-180.0,1,0.433,5.899,-24.79
62.0,-180.0,2,1.596,5.171,-22.38
62.0,-180.0,3,3.528,5.248,-15.07
62.0,-180.0,4,6.022,4.912,-4.74
62.0,-180.0,5,7.494,3.824,2.12
62.0,-180.0,6,7.443,3.464,10.45
62.0,-180.0,7,7.527,2.906,11.54
62.0,-180.0,8,5.762,3.281,8.73
62.0,-180.0,9,3.513,4.167,1.95
62.0,-180.0,10,2.076,4.431,-6.7
62.0,-180.0,11,0.827,4.86,-16.3
62.0,-180.0,12,0.144,5.747,-21.61
62.0,-165.0,1,0.674,6.117,-26.46
62.0,-165.0,2,1.643,5.632,-20.9
62.0,-165.0,3,3.521,5.222,-15.15
62.0,-165.0,4,5.916,3.988,-4.39
62.0,-165.0,5,7.42,3.775,6.4
62.0,-165.0,6,7.441,3.709,10.51
62.0,-165.0,7,7.551,3.741,13.78
62.0,-165.0,8,5.706,3.879,12.18
62.0,-165.0,9,3.687,5.128,4.5
62.0,-165.0,10,2.114,4.237,-4.93
62.0,-165.0,11,0.751,5.692,-13.45
62.0,-165.0,12,0.177,5.057,-21.13
62.0,-150.0,1,0.621,5.109,-24.88
62.0,-150.0,2,1.625,5.799,-20.47
62.0,-150.0,3,3.575,4.735,-13.22
62.0,-150.0,4,5.941,3.829,-5.36
62.0,-150.0,5,7.574,4.285,5.29
62.0,-150.0,6,7.603,3.784,12.67
62.0,-150.0,7,7.56,3.473,14.09
62.0,-150.0,8,5.733,4.269,12.85
62.0,-150.0,9,3.377,3.632,6.43
62.0,-150.0,10,2.096,4.663,-3.55
62.0,-150.0,11,0.649,5.405,-14.51
62.0,-150.0,12,0.212,5.169,-20.51
62.0,-135.0,1,0.603,5.679,-20.29
62.0,-135.0,2,1.772,5.482,-20.72
62.0,-135.0,3,3.59,4.825,-12.11
62.0,-135.0,4,5.857,4.961,-1.32
62.0,-135.0,5,7.667,4.041,9.71
62.0,-135.0,6,7.432,3.841,16.72
62.0,-135.0,7,7.521,3.616,17.07
62.0,-135.0,8,5.768,3.966,15.35
62.0,-135.0,9,3.652,3.318,9.23
62.0,-135.0,10,2.017,4.009,-1.61
62.0,-135.0,11,0.684,5.101,-13.35
62.0,-135.0,12,0.195,5.211,-17.96
62.0,-120.0,1,0.626,5.819,-21.39
62.0,-120.0,2,1.644,6.127,-18.84
62.0,-120.0,3,3.648,5.412,-12.55
62.0,-120.0,4,6.061,4.98,-0.72
62.0,-120.0,5,7.508,4.076,9.63
62.0,-120.0,6,7.227,3.397,17.0
62.0,-120.0,7,7.497,3.66,21.32
62.0,-120.0,8,5.786,3.735,16.52
62.0,-120.0,9,3.679,4.032,8.6
62.0,-120.0,10,2.091,4.563,-2.97
62.0,-120.0,11,0.711,4.958,-11.63
62.0,-120.0,12,0.017,5.423,-17.22
62.0,-105.0,1,0.598,5.555,-19.56
62.0,-105.0,2,1.814,6.223,-18.71
62.0,-105.0,3,3.605,5.174,-10.66
62.0,-105.0,4,5.879,4.961,-0.3
62.0,-105.0,5,7.484,4.009,9.9
62.0,-105.0,6,7.589,3.461,19.19
62.0,-105.0,7,7.559,4.082,21.19
62.0,-105.0,8,5.927,3.602,16.72
62.0,-105.0,9,3.449,4.659,9.95
62.0,-105.0,10,1.816,4.357,-1.99
62.0,-105.0,11,0.797,5.35,-10.35
62.0,-105.0,12,0.141,6.016,-20.48
62.0,-90.0,1,0.525,5.367,-20.91
62.0,-90.0,2,1.597,6.087,-18.57
62.0,-90.0,3,3.325,4.9,-11.04
62.0,-90.0,4,6.014,5.181,0.27
62.0,-90.0,5,7.421,4.656,10.98
62.0,-90.0,6,7.272,4.113,18.4
62.0,-90.0,7,7.608,3.96,19.41
62.0,-90.0,8,5.646,3.763,17.61
62.0,-90.0,9,3.646,3.94,9.43
62.0,-90.0,10,1.999,5.531,0.5
62.0,-90.0,11,0.581,4.9,-10.76
62.0,-90.0,12,0.122,5.447,-19.75
62.0,-75.0,1,0.492,6.04,-22.25
62.0,-75.0,2,1.654,5.314,-19.4
62.0,-75.0,3,3.603,5.783,-11.84
62.0,-75.0,4,5.869,4.815,-3.0
62.0,-75.0,5,7.641,4.207,9.14
62.0,-75.0,6,7.365,3.513,18.34
62.0,-75.0,7,7.552,3.077,19.94
62.0,-75.0,8,5.943,4.189,17.21
62.0,-75.0,9,3.627,3.904,8.82
62.0,-75.0,10,1.97,4.997,-2.38
62.0,-75.0,11,0.859,5.507,-10.31
62.0,-75.0,12,0.111,5.612,-19.69
